id,titulo,ano,genero,nota,votos,orcamento,receita,diretor,poster,sinopse,duracao,popularidade
863,Toy Story 2,1999-10-30,Animação,7.619,15224,90000000,497375404,John Lasseter,https://image.tmdb.org/t/p/w500/xVhEI1WCgNCCa5I86AqiwuZoog3.jpg,"Quando Andy viaja para um acampamento de verão, Woody é sequestrado por Al, um ambiocioso colecionador, que precisa do brinquedo favorito de Andy para completar sua coleção da Gangue do Rodeio. Junto com Jessie, Bala no Alvo e Mineiro, Woody corre o risco de ter que passar o resto de sua vida em exposição num museu. Agora, Buzz, Sr. Cabeça de Batata, Porquinho, Rex e Slinky terão que salvar seu amigo e trazê-lo de volta à vida de brinquedos.",92,28.4376
19995,Avatar,2009-12-16,Ficção científica,7.609,34476,237000000,2923706026,James Cameron,https://image.tmdb.org/t/p/w500/lRRMQhlOLM9xgvjKKFndOmptqKR.jpg,"Apesar de não ter mais os movimentos da perna, o ex-fuzileiro naval Jake Sully ainda sente que pode ser um guerreiro. Sua intuição começa a se tornar realidade quando ele viaja anos-luz até a estação espacial montada no Planeta Pandora. Habitado por grandes seres azuis, os Na´vi, o local tem uma atmosfera fatal para qualquer terrestre. Por isso, oficiais criaram o programa Avatar, em que um corpo biológico, híbrido de humano e Na´vi, pode ser comandado a distância.",179,28.3431
1078605,A Hora do Mal,2025-08-04,Terror,7.254,3795,38000000,269972492,Zach Cregger,https://image.tmdb.org/t/p/w500/psEJSjQr6I9GSJTdW28CKC4Kffs.jpg,"Quando todas as crianças de uma mesma classe, exceto uma, somem misteriosamente, na mesma noite e exatamente ao mesmo tempo, todos da cidade começam a se questionar quem ou o que está por trás deste estranho desaparecimento.",129,28.3243
22,Piratas do Caribe: A Maldição do Pérola Negra,2003-07-09,Aventura,7.833,22610,140000000,655011224,Gore Verbinski,https://image.tmdb.org/t/p/w500/xsAlxvMCRzyreLxdZL1dOUSbonV.jpg,"O pirata Jack Sparrow tem seu navio saqueado e roubado pelo capitão Barbossa e sua tripulação. Com o navio de Sparrow, Barbossa invade a cidade de Port Royal, levando consigo Elizabeth Swann, filha do governador. Para recuperar sua embarcação, Sparrow recebe a ajuda de Will Turner, um grande amigo de Elizabeth. Eles desbravam os mares em direção à misteriosa Ilha da Morte, tentando impedir que os piratas-esqueleto derramem o sangue de Elizabeth para desfazer a maldição que os assola.",143,28.2932
10193,Toy Story 3,2010-06-16,Animação,7.814,16078,200000000,1067316101,Lee Unkrich,https://image.tmdb.org/t/p/w500/rf67AeS9nP8DD7dZYbvhjEVoIBf.jpg,"Woody, Buzz e o resto dos brinquedos de Andy não são usados há anos. Com Andy prestes a ir para a faculdade, o grupo acaba por ser deixado acidentalmente numa creche. Os brinquedos devem se unir para escapar e voltar para casa de Andy.",103,28.201
921711,தமிழ் ராக்கர்ஸ்,2021-12-31,Comédia,4.75,4,0,0,Barani Jayapal,https://image.tmdb.org/t/p/w500/hOoMQIANxXhRUPkrtSYHYuZaFSm.jpg,,98,28.0819
1487861,Elize: Sombras de uma Mulher,2026-07-22,Thriller,7.421,178,0,0,Vellas,https://image.tmdb.org/t/p/w500/612ZyfilK8CVEEFphgPb3GOw0NF.jpg,"Nesta adaptação de um crime chocante, uma mulher descobre as traições do marido e vê seu conto de fadas se transformar em um jogo violento.",93,28.073
283995,Guardiões da Galáxia - Vol. 2,2017-04-25,Ficção científica,7.61,23276,200000000,863756051,James Gunn,https://image.tmdb.org/t/p/w500/jGtBLu0JAKf5JxhWgmF68HROzCA.jpg,"Os Guardiões precisam lutar para manter sua recém descoberta família unida, enquanto descobrem os mistérios sobre o verdadeiro pai de Peter Quill.",136,28.0234
1444466,आवारापन २,2026-08-14,Ação,0.0,0,5400000,14000000,Nitin Kakkar,https://image.tmdb.org/t/p/w500/lD3J6zTbWkVtPYuSUuuBwpuKMCO.jpg,,150,27.9169
1599189,剑来院线剧场版 十三之争,2026-05-01,Animação,0.0,0,0,0,Desconhecido,https://image.tmdb.org/t/p/w500/95OnjUQ1mlu7JHvIMcjYL6ah9Ah.jpg,,0,27.8756
